DateTime,Maize Field,Meadow
2023-09-02 08:00:00,16.0,2.0
2023-09-02 10:00:00,4.0,10.0
2023-09-02 12:00:00,33.0,16.0
2023-09-02 14:00:00,36.0,7.0
2023-09-02 16:00:00,11.0,22.0
2023-09-02 18:00:00,8.0,44.0
2023-09-03 06:00:00,1.0,1.0
2023-09-03 08:00:00,10.0,9.0
2023-09-03 10:00:00,2.0,
2023-09-03 12:00:00,80.0,69.0
2023-09-03 14:00:00,48.0,45.0
2023-09-03 16:00:00,11.0,6.0
2023-09-03 18:00:00,4.0,17.0
2023-09-04 06:00:00,,4.0
2023-09-04 08:00:00,4.0,6.0
2023-09-04 10:00:00,,3.0
2023-09-04 12:00:00,22.0,8.0
2023-09-04 14:00:00,3.0,2.0
2023-09-04 16:00:00,5.0,12.0
2023-09-04 18:00:00,7.0,
2023-09-05 08:00:00,15.0,3.0
2023-09-05 10:00:00,,2.0
2023-09-05 12:00:00,27.0,9.0
2023-09-05 14:00:00,3.0,4.0
2023-09-05 16:00:00,6.0,18.0
2023-09-05 18:00:00,12.0,10.0
2023-09-06 08:00:00,,8.0
2023-09-06 10:00:00,,5.0
2023-09-06 12:00:00,6.0,5.0
2023-09-06 14:00:00,2.0,4.0
2023-09-06 16:00:00,6.0,5.0
2023-09-06 18:00:00,6.0,22.0
2023-09-07 06:00:00,,18.0
2023-09-07 08:00:00,4.0,8.0
2023-09-07 12:00:00,9.0,11.0
2023-09-07 14:00:00,2.0,3.0
2023-09-07 16:00:00,2.0,116.0
2023-09-07 18:00:00,8.0,27.0
2023-09-08 06:00:00,,1.0
2023-09-08 08:00:00,4.0,6.0
2023-09-08 10:00:00,,2.0
2023-09-08 12:00:00,2.0,31.0
2023-09-08 14:00:00,1.0,1.0
2023-09-08 16:00:00,15.0,4.0
2023-09-08 18:00:00,7.0,13.0
2023-09-09 06:00:00,1.0,
2023-09-09 08:00:00,1.0,5.0
2023-09-09 10:00:00,2.0,3.0
2023-09-09 12:00:00,2.0,10.0
2023-09-09 16:00:00,1.0,4.0
2023-09-09 18:00:00,29.0,7.0
2023-09-10 08:00:00,,4.0
2023-09-10 10:00:00,3.0,3.0
2023-09-10 12:00:00,2.0,8.0
2023-09-10 14:00:00,2.0,11.0
2023-09-10 16:00:00,11.0,19.0
2023-09-10 18:00:00,20.0,26.0
2023-09-11 08:00:00,7.0,2.0
2023-09-11 10:00:00,2.0,3.0
2023-09-11 12:00:00,,3.0
2023-09-11 16:00:00,19.0,
2023-09-11 18:00:00,14.0,18.0
2023-09-12 06:00:00,1.0,
2023-09-12 08:00:00,3.0,9.0
2023-09-12 10:00:00,,2.0
2023-09-12 12:00:00,4.0,3.0
2023-09-12 14:00:00,3.0,2.0
2023-09-12 16:00:00,,3.0
2023-09-12 18:00:00,22.0,132.0
2023-09-13 06:00:00,1.0,8.0
2023-09-13 08:00:00,24.0,30.0
2023-09-13 10:00:00,,3.0
2023-09-13 12:00:00,35.0,15.0
2023-09-13 14:00:00,29.0,12.0
2023-09-13 16:00:00,2.0,48.0
2023-09-13 18:00:00,2.0,5.0
