DateTime,FAIR-D2,ID-2
2023-08-23 06:00:00,1.0,4.0
2023-08-23 08:00:00,2.0,19.0
2023-08-23 10:00:00,2.0,
2023-08-23 12:00:00,1.0,3.0
2023-08-23 14:00:00,1.0,
2023-08-23 16:00:00,,3.0
2023-08-24 06:00:00,,2.0
2023-08-24 08:00:00,,6.0
2023-08-24 10:00:00,1.0,
2023-08-24 12:00:00,1.0,
2023-08-24 14:00:00,1.0,1.0
2023-08-24 16:00:00,,1.0
2023-08-24 18:00:00,3.0,9.0
2023-08-25 06:00:00,,2.0
2023-08-25 08:00:00,,12.0
2023-08-25 12:00:00,,38.0
2023-08-25 14:00:00,3.0,15.0
2023-08-25 16:00:00,3.0,6.0
2023-08-25 18:00:00,4.0,11.0
2023-08-26 06:00:00,,18.0
2023-08-26 08:00:00,2.0,27.0
2023-08-26 10:00:00,19.0,
2023-08-26 12:00:00,28.0,23.0
2023-08-26 14:00:00,15.0,19.0
2023-08-26 16:00:00,,3.0
2023-08-26 18:00:00,,1.0
2023-08-27 06:00:00,,3.0
2023-08-27 08:00:00,8.0,9.0
2023-08-27 10:00:00,10.0,
2023-08-27 12:00:00,9.0,5.0
2023-08-27 14:00:00,4.0,3.0
2023-08-27 16:00:00,4.0,
2023-08-28 08:00:00,1.0,1.0
2023-08-28 10:00:00,2.0,
2023-08-28 12:00:00,1.0,
2023-08-28 14:00:00,,4.0
2023-08-29 12:00:00,1.0,
2023-08-30 08:00:00,,18.0
2023-08-30 10:00:00,1.0,
2023-08-30 12:00:00,6.0,87.0
2023-08-30 14:00:00,2.0,103.0
2023-08-30 16:00:00,4.0,13.0
2023-08-30 18:00:00,1.0,33.0
2023-08-31 08:00:00,1.0,
2023-08-31 10:00:00,1.0,
2023-08-31 12:00:00,1.0,97.0
2023-08-31 14:00:00,2.0,82.0
2023-08-31 16:00:00,1.0,16.0
2023-08-31 18:00:00,,35.0
2023-09-01 08:00:00,1.0,
2023-09-01 12:00:00,2.0,
2023-09-01 14:00:00,2.0,
2023-09-01 16:00:00,1.0,
