,DateTime,Device_type,Class
0,2023-08-23 06:00:00,ID,12
1,2023-08-23 08:00:00,FAIR-D,15
2,2023-08-23 08:00:00,ID,32
3,2023-08-23 10:00:00,FAIR-D,13
4,2023-08-23 12:00:00,FAIR-D,7
5,2023-08-23 12:00:00,ID,6
6,2023-08-23 14:00:00,FAIR-D,4
7,2023-08-23 14:00:00,ID,2
8,2023-08-23 16:00:00,FAIR-D,6
9,2023-08-23 18:00:00,FAIR-D,3
10,2023-08-23 18:00:00,ID,12
11,2023-08-24 06:00:00,FAIR-D,1
12,2023-08-24 06:00:00,ID,8
13,2023-08-24 08:00:00,FAIR-D,2
14,2023-08-24 08:00:00,ID,46
15,2023-08-24 10:00:00,FAIR-D,10
16,2023-08-24 12:00:00,FAIR-D,3
17,2023-08-24 12:00:00,ID,12
18,2023-08-24 14:00:00,FAIR-D,3
19,2023-08-24 16:00:00,FAIR-D,9
20,2023-08-24 16:00:00,ID,8
21,2023-08-24 18:00:00,FAIR-D,7
22,2023-08-24 18:00:00,ID,208
23,2023-08-25 06:00:00,FAIR-D,2
24,2023-08-25 06:00:00,ID,4
25,2023-08-25 08:00:00,FAIR-D,11
26,2023-08-25 08:00:00,ID,20
27,2023-08-25 10:00:00,FAIR-D,12
28,2023-08-25 12:00:00,FAIR-D,5
29,2023-08-25 12:00:00,ID,4
30,2023-08-25 14:00:00,FAIR-D,4
31,2023-08-25 16:00:00,FAIR-D,11
32,2023-08-25 16:00:00,ID,10
33,2023-08-25 18:00:00,FAIR-D,2
34,2023-08-25 18:00:00,ID,2
35,2023-08-26 06:00:00,FAIR-D,6
36,2023-08-26 06:00:00,ID,12
37,2023-08-26 08:00:00,FAIR-D,12
38,2023-08-26 08:00:00,ID,20
39,2023-08-26 10:00:00,FAIR-D,28
40,2023-08-26 12:00:00,FAIR-D,41
41,2023-08-26 12:00:00,ID,14
42,2023-08-26 14:00:00,FAIR-D,27
43,2023-08-26 14:00:00,ID,14
44,2023-08-26 16:00:00,FAIR-D,4
45,2023-08-26 18:00:00,FAIR-D,1
46,2023-08-26 18:00:00,ID,6
47,2023-08-27 06:00:00,FAIR-D,3
48,2023-08-27 06:00:00,ID,12
49,2023-08-27 08:00:00,FAIR-D,10
50,2023-08-27 08:00:00,ID,14
51,2023-08-27 10:00:00,FAIR-D,35
52,2023-08-27 12:00:00,FAIR-D,29
53,2023-08-27 12:00:00,ID,2
54,2023-08-27 14:00:00,FAIR-D,16
55,2023-08-27 14:00:00,ID,4
56,2023-08-27 16:00:00,FAIR-D,5
57,2023-08-27 16:00:00,ID,2
58,2023-08-27 18:00:00,FAIR-D,1
59,2023-08-27 18:00:00,ID,4
60,2023-08-28 06:00:00,FAIR-D,1
61,2023-08-28 08:00:00,FAIR-D,5
62,2023-08-28 08:00:00,ID,12
63,2023-08-28 10:00:00,FAIR-D,6
64,2023-08-28 12:00:00,FAIR-D,6
65,2023-08-28 12:00:00,ID,6
66,2023-08-28 14:00:00,FAIR-D,1
67,2023-08-28 14:00:00,ID,14
68,2023-08-28 16:00:00,FAIR-D,1
69,2023-08-29 06:00:00,FAIR-D,1
70,2023-08-29 08:00:00,FAIR-D,1
71,2023-08-29 10:00:00,FAIR-D,1
72,2023-08-29 12:00:00,FAIR-D,5
73,2023-08-29 14:00:00,FAIR-D,12
74,2023-08-29 16:00:00,FAIR-D,10
75,2023-08-29 18:00:00,FAIR-D,2
76,2023-08-30 08:00:00,FAIR-D,2
77,2023-08-30 10:00:00,FAIR-D,13
78,2023-08-30 12:00:00,FAIR-D,9
79,2023-08-30 14:00:00,FAIR-D,10
80,2023-08-30 16:00:00,FAIR-D,7
81,2023-08-30 16:00:00,ID,10
82,2023-08-30 18:00:00,FAIR-D,1
83,2023-08-30 18:00:00,ID,36
84,2023-08-31 06:00:00,ID,12
85,2023-08-31 08:00:00,FAIR-D,2
86,2023-08-31 08:00:00,ID,12
87,2023-08-31 10:00:00,FAIR-D,7
88,2023-08-31 12:00:00,FAIR-D,6
89,2023-08-31 12:00:00,ID,18
90,2023-08-31 14:00:00,FAIR-D,6
91,2023-08-31 14:00:00,ID,6
92,2023-08-31 16:00:00,FAIR-D,5
93,2023-08-31 16:00:00,ID,6
94,2023-08-31 18:00:00,FAIR-D,3
95,2023-08-31 18:00:00,ID,52
96,2023-09-01 06:00:00,FAIR-D,2
97,2023-09-01 08:00:00,FAIR-D,7
98,2023-09-01 08:00:00,ID,4
99,2023-09-01 10:00:00,FAIR-D,11
100,2023-09-01 12:00:00,FAIR-D,14
101,2023-09-01 14:00:00,FAIR-D,11
102,2023-09-01 16:00:00,FAIR-D,7
103,2023-09-01 18:00:00,FAIR-D,3
